date;code;PM10_day
20.11.22;mc174;22
21.11.22;mc174;26
22.11.22;mc174;28
23.11.22;mc174;33
24.11.22;mc174;46
25.11.22;mc174;37
26.11.22;mc174;27
27.11.22;mc174;29
28.11.22;mc174;32
29.11.22;mc174;42
30.11.22;mc174;49
01.12.22;mc174;41
02.12.22;mc174;33
03.12.22;mc174;44
04.12.22;mc174;47
05.12.22;mc174;34
06.12.22;mc174;17
07.12.22;mc174;15
08.12.22;mc174;19
09.12.22;mc174;25
10.12.22;mc174;24
11.12.22;mc174;21
12.12.22;mc174;16
13.12.22;mc174;30
01.10.22;mc190;15
02.10.22;mc190;12
03.10.22;mc190;11
04.10.22;mc190;14
05.10.22;mc190;18
06.10.22;mc190;16
07.10.22;mc190;21
08.10.22;mc190;16
09.10.22;mc190;14
10.10.22;mc190;19
11.10.22;mc190;18
12.10.22;mc190;25
13.10.22;mc190;33
14.10.22;mc190;31
15.10.22;mc190;20
16.10.22;mc190;12
17.10.22;mc190;23
18.10.22;mc190;20
19.10.22;mc190;12
20.10.22;mc190;17
21.10.22;mc190;24
22.10.22;mc190;20
23.10.22;mc190;19
24.10.22;mc190;18
25.10.22;mc190;15
26.10.22;mc190;21
27.10.22;mc190;23
28.10.22;mc190;26
29.10.22;mc190;32
30.10.22;mc190;43
31.10.22;mc190;44
01.11.22;mc190;33
02.11.22;mc190;17
03.11.22;mc190;19
04.11.22;mc190;21
05.11.22;mc190;15
06.11.22;mc190;16
07.11.22;mc190;16
08.11.22;mc190;14
09.11.22;mc190;14
10.11.22;mc190;16
11.11.22;mc190;16
12.11.22;mc190;24
13.11.22;mc190;25
14.11.22;mc190;38
15.11.22;mc190;36
16.11.22;mc190;27
17.11.22;mc190;22
18.11.22;mc190;25
19.11.22;mc190;18
20.11.22;mc190;19
21.11.22;mc190;25
22.11.22;mc190;28
23.11.22;mc190;32
24.11.22;mc190;40
25.11.22;mc190;35
26.11.22;mc190;24
27.11.22;mc190;25
28.11.22;mc190;31
29.11.22;mc190;42
30.11.22;mc190;50
01.12.22;mc190;44
02.12.22;mc190;34
03.12.22;mc190;45
04.12.22;mc190;47
05.12.22;mc190;31
06.12.22;mc190;15
07.12.22;mc190;13
08.12.22;mc190;16
09.12.22;mc190;23
10.12.22;mc190;23
11.12.22;mc190;20
12.12.22;mc190;17
13.12.22;mc190;25
01.10.22;MC221;16
02.10.22;MC221;12
03.10.22;MC221;12
04.10.22;MC221;16
05.10.22;MC221;18
06.10.22;MC221;15
07.10.22;MC221;22
08.10.22;MC221;18
09.10.22;MC221;16
10.10.22;MC221;23
11.10.22;MC221;20
12.10.22;MC221;28
13.10.22;MC221;38
14.10.22;MC221;35
15.10.22;MC221;22
16.10.22;MC221;17
17.10.22;MC221;26
18.10.22;MC221;22
19.10.22;MC221;13
20.10.22;MC221;17
21.10.22;MC221;26
22.10.22;MC221;23
23.10.22;MC221;21
24.10.22;MC221;19
25.10.22;MC221;17
26.10.22;MC221;23
27.10.22;MC221;25
28.10.22;MC221;27
29.10.22;MC221;34
30.10.22;MC221;48
31.10.22;MC221;48
01.11.22;MC221;34
02.11.22;MC221;18
03.11.22;MC221;20
04.11.22;MC221;23
